comparison,note,seed42_lift,seed42_ci_95,seed42_unadjusted_p,seed42_bh_adjusted_p,seed42_cuped_variance_reduction_pct,final_look_boundary_crossed,stability_100seed_avg_lift,stability_100seed_share_bh_significant,stability_100seed_share_wins
B (LambdaMART) vs A (BM25),SYNTHETIC CLICK SIMULATION,0.0456,"[0.0260, 0.0652]",5.11e-06,7.67e-06,15.4,True,0.0532,1.0,0.4
C (LambdaMART+rewrite) vs A (BM25),SYNTHETIC CLICK SIMULATION,0.0626,"[0.0430, 0.0822]",3.81e-10,1.14e-09,15.9,True,0.0562,1.0,0.6
B (LambdaMART) vs C (LambdaMART+rewrite),SYNTHETIC CLICK SIMULATION,-0.017,"[-0.0366, 0.0026]",8.84e-02,8.84e-02,12.1,"n/a (secondary comparison, not sequentially tracked)","n/a (secondary comparison, not stability-tracked)",n/a,n/a
